model,checkpoint,step,order_param_b,train_loss,n_embd,n_head,n_layer
0.1M,gpt_0.1M_step_0.pth,0,0.07180529832839966,4.383165493011474,64,2,2
0.1M,gpt_0.1M_step_1000.pth,1000,0.1006203442811966,2.4891189742088318,64,2,2
0.1M,gpt_0.1M_step_2000.pth,2000,0.11392244696617126,2.4211129319667815,64,2,2
0.1M,gpt_0.1M_step_3000.pth,3000,0.1240391656756401,2.3353418588638304,64,2,2
0.1M,gpt_0.1M_step_4000.pth,4000,0.13361667096614838,2.2197899508476255,64,2,2
0.1M,gpt_0.1M_step_5000.pth,5000,0.1432463824748993,2.0769563138484957,64,2,2
0.1M,gpt_0.1M_step_6000.pth,6000,0.15289205312728882,1.961934146285057,64,2,2
0.1M,gpt_0.1M_step_7000.pth,7000,0.16170108318328857,1.8861558902263642,64,2,2
0.1M,gpt_0.1M_step_8000.pth,8000,0.16922208666801453,1.8266325163841248,64,2,2
0.1M,gpt_0.1M_step_9000.pth,9000,0.17594018578529358,1.7834084886312485,64,2,2
0.1M,gpt_0.1M_step_10000.pth,10000,0.18189305067062378,1.7517722988128661,64,2,2
0.1M,gpt_0.1M_step_11000.pth,11000,0.18727731704711914,1.7272286713123322,64,2,2
0.1M,gpt_0.1M_step_12000.pth,12000,0.19202810525894165,1.7040850567817687,64,2,2
0.1M,gpt_0.1M_step_13000.pth,13000,0.1965128481388092,1.6865897780656816,64,2,2
0.1M,gpt_0.1M_step_14000.pth,14000,0.20044676959514618,1.6687309765815734,64,2,2
0.1M,gpt_0.1M_step_15000.pth,15000,0.20424684882164001,1.6564174002408982,64,2,2
0.1M,gpt_0.1M_step_16000.pth,16000,0.20774157345294952,1.646046347618103,64,2,2
0.1M,gpt_0.1M_step_17000.pth,17000,0.21103926002979279,1.6346448332071304,64,2,2
0.1M,gpt_0.1M_step_18000.pth,18000,0.2140294313430786,1.624100871682167,64,2,2
0.1M,gpt_0.1M_step_19000.pth,19000,0.21676740050315857,1.6155827456712724,64,2,2
10K,gpt_10K_step_0.pth,0,0.14574481546878815,4.341141967773438,32,2,1
10K,gpt_10K_step_1000.pth,1000,0.1999722272157669,2.628348658084869,32,2,1
10K,gpt_10K_step_2000.pth,2000,0.23095202445983887,2.520273199081421,32,2,1
10K,gpt_10K_step_3000.pth,3000,0.2490987628698349,2.4870701694488524,32,2,1
10K,gpt_10K_step_4000.pth,4000,0.2622690498828888,2.4675665998458864,32,2,1
10K,gpt_10K_step_5000.pth,5000,0.27249830961227417,2.4540019154548647,32,2,1
10K,gpt_10K_step_6000.pth,6000,0.281218022108078,2.4418032646179197,32,2,1
10K,gpt_10K_step_7000.pth,7000,0.2891390919685364,2.4266882693767546,32,2,1
10K,gpt_10K_step_8000.pth,8000,0.29785630106925964,2.4073224627971648,32,2,1
10K,gpt_10K_step_9000.pth,9000,0.30626577138900757,2.3879629397392272,32,2,1
10K,gpt_10K_step_10000.pth,10000,0.31399789452552795,2.373313069343567,32,2,1
10K,gpt_10K_step_11000.pth,11000,0.3209582567214966,2.3500114667415617,32,2,1
10K,gpt_10K_step_12000.pth,12000,0.32760992646217346,2.315357559919357,32,2,1
10K,gpt_10K_step_13000.pth,13000,0.3335104286670685,2.275568606853485,32,2,1
10K,gpt_10K_step_14000.pth,14000,0.33971649408340454,2.2402449476718904,32,2,1
10K,gpt_10K_step_15000.pth,15000,0.3456091582775116,2.213555886745453,32,2,1
10K,gpt_10K_step_16000.pth,16000,0.3517666161060333,2.1896061384677887,32,2,1
10K,gpt_10K_step_17000.pth,17000,0.3573032319545746,2.1665389358997347,32,2,1
10K,gpt_10K_step_18000.pth,18000,0.3628179132938385,2.147974351644516,32,2,1
10K,gpt_10K_step_19000.pth,19000,0.36746829748153687,2.129536442756653,32,2,1
10M,gpt_10M_step_0.pth,0,0.01212457474321127,4.284884760379791,384,6,6
10M,gpt_10M_step_1000.pth,1000,0.017711983993649483,1.5538076919317245,384,6,6
10M,gpt_10M_step_2000.pth,2000,0.02083688974380493,1.3052702647447587,384,6,6
10M,gpt_10M_step_3000.pth,3000,0.022930635139346123,1.1889854282140733,384,6,6
10M,gpt_10M_step_4000.pth,4000,0.024775618687272072,1.0947869729995727,384,6,6
10M,gpt_10M_step_5000.pth,5000,0.02665587328374386,1.0046363791823387,384,6,6
10M,gpt_10M_step_6000.pth,6000,0.02863544225692749,0.9050214928388596,384,6,6
10M,gpt_10M_step_7000.pth,7000,0.03071381151676178,0.8048145309090614,384,6,6
10M,gpt_10M_step_8000.pth,8000,0.03280387818813324,0.702249126136303,384,6,6
10M,gpt_10M_step_9000.pth,9000,0.03491589054465294,0.6069603621959686,384,6,6
10M,gpt_10M_step_10000.pth,10000,0.03693573549389839,0.5183167353272438,384,6,6
10M,gpt_10M_step_11000.pth,11000,0.03890293464064598,0.43995089441537855,384,6,6
10M,gpt_10M_step_12000.pth,12000,0.040765050798654556,0.37369930639863014,384,6,6
10M,gpt_10M_step_13000.pth,13000,0.04252364858984947,0.3183508323132992,384,6,6
10M,gpt_10M_step_14000.pth,14000,0.04418621584773064,0.2705236114561558,384,6,6
10M,gpt_10M_step_15000.pth,15000,0.04574190452694893,0.23509319454431535,384,6,6
10M,gpt_10M_step_16000.pth,16000,0.047190602868795395,0.2076692869514227,384,6,6
10M,gpt_10M_step_17000.pth,17000,0.048532068729400635,0.18388064615428448,384,6,6
10M,gpt_10M_step_18000.pth,18000,0.04978351667523384,0.16565076179802418,384,6,6
10M,gpt_10M_step_19000.pth,19000,0.050956841558218,0.1525298749655485,384,6,6
1M,gpt_1M_step_0.pth,0,0.036158278584480286,4.334465608596802,128,4,4
1M,gpt_1M_step_1000.pth,1000,0.05081811174750328,2.2424700319767,128,4,4
1M,gpt_1M_step_2000.pth,2000,0.06198010966181755,1.8391124492883681,128,4,4
1M,gpt_1M_step_3000.pth,3000,0.07167666405439377,1.6455356681346893,128,4,4
1M,gpt_1M_step_4000.pth,4000,0.07853878289461136,1.5483207601308822,128,4,4
1M,gpt_1M_step_5000.pth,5000,0.08360002189874649,1.4901568895578385,128,4,4
1M,gpt_1M_step_6000.pth,6000,0.08767549693584442,1.4449829125404359,128,4,4
1M,gpt_1M_step_7000.pth,7000,0.09116166085004807,1.4146308875083924,128,4,4
1M,gpt_1M_step_8000.pth,8000,0.09406422823667526,1.3870658576488495,128,4,4
1M,gpt_1M_step_9000.pth,9000,0.09659914672374725,1.370555096268654,128,4,4
1M,gpt_1M_step_10000.pth,10000,0.09887740761041641,1.3515771162509918,128,4,4
1M,gpt_1M_step_11000.pth,11000,0.10095781087875366,1.3356984412670136,128,4,4
1M,gpt_1M_step_12000.pth,12000,0.10281368345022202,1.323320643901825,128,4,4
1M,gpt_1M_step_13000.pth,13000,0.10455521941184998,1.3096970349550248,128,4,4
1M,gpt_1M_step_14000.pth,14000,0.10621226578950882,1.299807248711586,128,4,4
1M,gpt_1M_step_15000.pth,15000,0.10772016644477844,1.2907418447732926,128,4,4
1M,gpt_1M_step_16000.pth,16000,0.10912446677684784,1.2842560988664626,128,4,4
1M,gpt_1M_step_17000.pth,17000,0.11048945784568787,1.2706974583864212,128,4,4
1M,gpt_1M_step_18000.pth,18000,0.11180738359689713,1.2672453534603119,128,4,4
1M,gpt_1M_step_19000.pth,19000,0.11305178701877594,1.2596629172563554,128,4,4
