checkpoint,step,order_param_b,train_loss
gpt_10M_step_0.pth,0,0.01212457474321127,4.284884760379791
gpt_10M_step_1000.pth,1000,0.017711983993649483,1.5538076919317245
gpt_10M_step_2000.pth,2000,0.02083688974380493,1.3052702647447587
gpt_10M_step_3000.pth,3000,0.022930635139346123,1.1889854282140733
gpt_10M_step_4000.pth,4000,0.024775618687272072,1.0947869729995727
gpt_10M_step_5000.pth,5000,0.02665587328374386,1.0046363791823387
gpt_10M_step_6000.pth,6000,0.02863544225692749,0.9050214928388596
gpt_10M_step_7000.pth,7000,0.03071381151676178,0.8048145309090614
gpt_10M_step_8000.pth,8000,0.03280387818813324,0.702249126136303
gpt_10M_step_9000.pth,9000,0.03491589054465294,0.6069603621959686
gpt_10M_step_10000.pth,10000,0.03693573549389839,0.5183167353272438
gpt_10M_step_11000.pth,11000,0.03890293464064598,0.43995089441537855
gpt_10M_step_12000.pth,12000,0.040765050798654556,0.37369930639863014
gpt_10M_step_13000.pth,13000,0.04252364858984947,0.3183508323132992
gpt_10M_step_14000.pth,14000,0.04418621584773064,0.2705236114561558
gpt_10M_step_15000.pth,15000,0.04574190452694893,0.23509319454431535
gpt_10M_step_16000.pth,16000,0.047190602868795395,0.2076692869514227
gpt_10M_step_17000.pth,17000,0.048532068729400635,0.18388064615428448
gpt_10M_step_18000.pth,18000,0.04978351667523384,0.16565076179802418
gpt_10M_step_19000.pth,19000,0.050956841558218,0.1525298749655485
