model,b,derivative,curvature
0.1M,0.1240391656756401,-8.47815142104052,374.50004780528803
0.1M,0.1336166709661483,-12.064927610191235,374.50004780528803
0.1M,0.1432463824748993,-14.832597723133224,301.467087438979
0.1M,0.1528920531272888,-11.924745485161726,377.1592592648995
0.1M,0.1617010831832885,-8.602338234398642,377.1592592648995
0.1M,0.1692220866680145,-7.9142861671480285,220.3479260366913
0.1M,0.1759401857852935,-6.433966959746675,220.3479260366913
0.1M,0.1818930506706237,-5.31444782097179,188.06392557871513
0.1M,0.1872773170471191,-4.5583977062644925,140.41840834765776
0.1M,0.1920281052589416,-4.87153152248923,216.39264090331227
0.1M,0.1965128481388092,-3.9010661669423516,216.39264090331227
0.1M,0.2004467695951461,-4.539694470854411,341.9263455226882
0.1M,0.20424684882164,-3.2403472682426715,341.9263455226882
0.1M,0.2077415734529495,-2.9676308484737466,148.52754900799047
0.1M,0.2110392600297927,-3.4574281531288182,148.52754900799047
0.1M,0.2140294313430786,-3.5262065013180117,151.60707177169206
10K,0.2490987628698349,-1.8296968238809739,91.41487471620019
10K,0.281218022108078,-1.3989739733752904,64.28768643618639
10K,0.2891390919685364,-1.908201228803565,64.28768643618639
10K,0.3062657713890075,-2.302109683706909,52.69359841344747
10K,0.3139978945255279,-1.894676292267778,208.76512730804154
10K,0.3209582567214966,-3.3477571922192597,279.9370029248196
10K,0.3276099264621734,-5.209805683870042,279.9370029248196
10K,0.3335104286670685,-6.743316362607765,259.8949420721372
10K,0.3397164940834045,-5.691796140049286,197.29532172065535
10K,0.3456091582775116,-4.529201062081137,197.29532172065535
10K,0.3517666161060333,-3.8895513285901115,103.88211357747805
10K,0.3573032319545746,-4.166299992464098,145.05046007964464
10K,0.3628179132938385,-3.366392927011236,145.05046007964464
